pc_id,pos,neg,eig_val,exp_var
0,ter yeh o giant dragon,sir kitchen snake elf bedroom,0.006258185005360051,0.39241637091329734
1,dementors snake forest dog trunk,sir elf class memory box,0.0017949794536579163,0.11255329180346718
2,master elf sir kitchen snake,class team lesson ball broom,0.001436790231336599,0.0900932151832969
3,forest sir team master trees,letter kitchen owl street bedroom,0.0012242482636147926,0.07676587705431424
4,broom team match broomstick dog,class towards potion lesson snake,0.0010247951016018452,0.06425926596223776
5,yeh mirror forest giant class,o ter dragon dementors kitchen,0.0009252483380329429,0.05801723577897935
6,dementors cat dog class street,dragon train snake mirror shop,0.000887695261988113,0.05566248886665227
7,mirror shop cauldron dragon street,towards forest kitchen trees ball,0.0008450480053310902,0.05298831389860272
8,train towards mirror shop forest,ball dragon snake class girls,0.0007953382933777028,0.049871291191989506
9,mirror book master o towards,train yeh ball dog shop,0.0007554904070862456,0.04737264934716285
