term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,max_pos_group,stop,dfidf,stem_porter,stem_snowball,stem_lancaster,df,idf,mean_tfidf
0,9,1,8.262801144673386e-06,16.884937621522646,CD,2,"{'CD', 'JJ'}",CD,0,33.33750480391341,0,0,0,7,4.762500686273344,0.000896456025336511
0111,1,4,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,0111,0111,0111,1,7.569855608330948,0.00019434802588782918
08,1,2,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,08,08,08,1,7.569855608330948,2.3842815862959297e-05
1,90,1,8.262801144673386e-05,13.563009526635282,CD,7,"{'NNS', 'CD', 'NN', 'POS', 'PRP', 'JJ', 'NNP'}",CD,0,76.00413886652194,1,1,1,27,2.814968106167479,0.004958401003331087
10,6,2,5.508534096448923e-06,17.4699001222438,CD,1,{'CD'},CD,0,26.239637567217926,10,10,10,5,5.247927513443585,0.0006542850803027513
100,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,100,100,100,2,6.569855608330948,0.00019247402469257637
101,2,3,1.836178032149641e-06,19.054862622964958,VBP,2,"{'CD', 'VBP'}",VB,0,13.139711216661896,101,101,101,2,6.569855608330948,0.00019247402469257637
102,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,102,102,102,2,6.569855608330948,0.00019247402469257637
103,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,103,103,103,1,7.569855608330948,0.00015873045939045812
104,2,3,1.836178032149641e-06,19.054862622964958,RB,2,"{'CD', 'RB'}",RB,0,13.139711216661896,104,104,104,2,6.569855608330948,0.0002899380865641618
105,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,105,105,105,2,6.569855608330948,0.0002899380865641618
106,2,3,1.836178032149641e-06,19.054862622964958,VBP,2,"{'CD', 'VBP'}",VB,0,13.139711216661896,106,106,106,2,6.569855608330948,0.0002899380865641618
107,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,107,107,107,2,6.569855608330948,0.0002899380865641618
108,2,3,1.836178032149641e-06,19.054862622964958,NNP,2,"{'CD', 'NNP'}",NN,0,13.139711216661896,108,108,108,2,6.569855608330948,0.0002899380865641618
109,1,3,9.180890160748206e-07,20.054862622964958,CD,1,{'CD'},CD,0,7.569855608330948,109,109,109,1,7.569855608330948,0.0002710295599115986
11,10,2,9.180890160748207e-06,16.732934528077596,CD,1,{'CD'},CD,0,42.47927513443585,11,11,11,10,4.247927513443585,0.0009192160899957292
110,2,3,1.836178032149641e-06,19.054862622964958,NN,2,"{'NN', 'CD'}",NN,0,13.139711216661896,110,110,110,2,6.569855608330948,0.0002899380865641618
111,2,3,1.836178032149641e-06,19.054862622964958,CD,2,"{'CD', 'JJ'}",CD,0,13.139711216661896,111,111,111,2,6.569855608330948,0.0002899380865641618
