term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,max_pos_group,stop,dfidf,stem_porter,stem_snowball,stem_lancaster,df,idf,mean_tfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
abandon,10,7,9.180890160748207e-06,16.732934528077596,VB,1,{'VB'},VB,0,39.599375461997724,abandon,abandon,abandon,9,4.399930606888636,0.0007434768782892646,0,0,0,1,0,1,0,1,0,0,-1
abandoned,32,9,2.9378848514394258e-05,15.054862622964958,VBN,5,"{'NNS', 'VBD', 'VBN', 'JJ', 'NNP'}",VB,0,76.00413886652194,abandon,abandon,abandon,27,2.814968106167479,0.001997204681318409,1,0,0,1,0,1,0,1,0,0,-1
abandonment,1,11,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,abandon,abandon,abandon,1,7.569855608330948,0.00010738907090836923,1,0,0,1,0,1,0,1,1,0,-1
abject,1,6,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,abject,abject,abject,1,7.569855608330948,2.3842815862959297e-05,0,0,1,0,0,1,0,0,0,0,-1
abnormal,2,8,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,abnorm,abnorm,abnorm,2,6.569855608330948,0.00034776741801356226,0,0,1,0,0,1,0,0,0,0,-1
abomination,1,11,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,abomin,abomin,abomin,1,7.569855608330948,0.000156855690185059,1,0,1,1,0,1,0,0,0,0,-1
absence,32,7,2.9378848514394258e-05,15.054862622964958,NN,1,{'NN'},NN,0,77.35001921565362,absenc,absenc,abs,28,2.7625006862733437,0.0016089874249131456,0,0,0,1,0,1,0,1,0,0,-1
absent,14,6,1.2853246225047488e-05,16.247507700907352,JJ,2,"{'NN', 'JJ'}",JJ,0,52.67500960782681,absent,absent,abs,14,3.7625006862733437,0.0011500156098259487,0,0,0,0,0,1,0,1,0,0,-1
abuse,8,5,7.344712128598564e-06,17.054862622964958,NN,3,"{'NN', 'NNP', 'VB'}",NN,0,33.33750480391341,abus,abus,abus,7,4.762500686273344,0.0006875706276133671,1,0,1,1,0,1,0,1,0,0,-1
abysmal,5,7,4.590445080374103e-06,17.732934528077596,JJ,1,{'JJ'},JJ,0,26.239637567217926,abysm,abysm,abysm,5,5.247927513443585,0.0004915140421841163,0,0,0,0,0,1,0,1,0,0,-1
academic,2,8,1.836178032149641e-06,19.054862622964958,JJ,1,{'JJ'},JJ,0,13.139711216661896,academ,academ,academ,2,6.569855608330948,0.0002400665579478601,0,0,0,0,0,0,1,0,0,1,1
accident,40,8,3.6723560642992826e-05,14.732934528077596,NN,3,"{'NN', 'IN', 'JJ'}",NN,0,78.6443637828979,accid,accid,accid,29,2.711874613203376,0.0021306581866561516,0,0,0,1,0,1,0,1,1,0,-1
accidental,6,10,5.508534096448923e-06,17.4699001222438,NNP,2,"{'NNP', 'JJ'}",NN,0,29.90935864565875,accident,accident,accid,6,4.984893107609792,0.0007867782609365084,0,0,0,1,0,1,0,0,1,0,-1
accompaniment,1,13,9.180890160748206e-07,20.054862622964958,NN,1,{'NN'},NN,0,7.569855608330948,accompani,accompani,accompany,1,7.569855608330948,0.00017026215943164526,0,1,0,0,1,0,1,0,0,1,1
accomplish,1,10,9.180890160748206e-07,20.054862622964958,VB,1,{'VB'},VB,0,7.569855608330948,accomplish,accomplish,accompl,1,7.569855608330948,0.0001520662034618511,0,0,0,0,1,0,1,0,0,0,1
accomplished,6,12,5.508534096448923e-06,17.4699001222438,JJ,2,"{'VBN', 'JJ'}",JJ,0,29.90935864565875,accomplish,accomplish,accompl,6,4.984893107609792,0.0005886329896521231,0,0,0,0,1,0,1,0,0,0,1
accord,10,6,9.180890160748207e-06,16.732934528077596,NN,1,{'NN'},NN,0,42.47927513443585,accord,accord,accord,10,4.247927513443585,0.000945148736431426,0,0,0,0,0,0,1,0,0,1,1
accountability,1,14,9.180890160748206e-07,20.054862622964958,JJ,1,{'JJ'},JJ,0,7.569855608330948,account,account,account,1,7.569855608330948,0.00013324864651172237,0,0,0,0,0,0,1,0,0,1,1
accurate,9,8,8.262801144673386e-06,16.884937621522646,JJ,2,"{'VB', 'JJ'}",JJ,0,39.599375461997724,accur,accur,acc,9,4.399930606888636,0.0007503011139508143,0,0,0,0,0,0,1,0,0,1,1
accursed,1,8,9.180890160748206e-07,20.054862622964958,VBD,1,{'VBD'},VB,0,7.569855608330948,accurs,accurs,accurs,1,7.569855608330948,0.00010163608496684945,1,0,0,1,0,1,0,1,0,0,-1
accusation,6,10,5.508534096448923e-06,17.4699001222438,NN,1,{'NN'},NN,0,29.90935864565875,accus,accus,accus,6,4.984893107609792,0.0006330598859240846,1,0,1,0,0,1,0,0,0,0,-1
accused,14,7,1.2853246225047488e-05,16.247507700907352,VBN,3,"{'VBD', 'NN', 'VBN'}",VB,0,36.55884486664758,accus,accus,accus,8,4.569855608330948,0.0011443144053560964,1,0,0,1,0,1,0,0,0,0,-1
